filename,method,matrix,block_size,mean_time_ms,gflops,bandwidth_gbps
test-63632.out,SpMV_Hybrid,ecology1.mtx,256,0.083763,143.165497,763.676636
test-63633.out,SpMV_Hybrid,F1.mtx,256,0.461824,117.711075,482.755035
test-63634.out,SpMV_Hybrid,inline_1.mtx,256,0.605594,123.251144,506.312805
test-63635.out,SpMV_Hybrid,mawi_201512012345.mtx,256,30.980305,2.455775,19.414303
test-63636.out,SpMV_Hybrid,sx-stackoverflow.mtx,256,2.032026,71.324783,305.786896
test-63637.out,SpMV_OneThreadPerRow,crankseg_1.mtx,256,0.170906,124.8293,504.260651
test-63638.out,SpMV_OneThreadPerRow,ecology1.mtx,256,0.083456,143.69249,766.487732
test-63639.out,SpMV_OneThreadPerRow,F1.mtx,256,0.397414,136.788727,560.996033
test-63640.out,SpMV_OneThreadPerRow,inline_1.mtx,256,0.513229,145.432404,597.432922
test-63641.out,SpMV_OneThreadPerRow,mawi_201512012345.mtx,256,939.64325,0.080968,0.640095
test-63642.out,SpMV_OneThreadPerRow,sx-stackoverflow.mtx,256,5.932032,24.432402,104.747726
test-63643.out,SpMV_OneWarpPerRow,crankseg_1.mtx,256,0.10199,209.176834,844.99115
test-63644.out,SpMV_OneWarpPerRow,ecology1.mtx,256,0.643687,18.630186,99.377571
test-63645.out,SpMV_OneWarpPerRow,F1.mtx,256,0.36905,147.302155,604.113586
test-63646.out,SpMV_OneWarpPerRow,inline_1.mtx,256,0.505549,147.641754,606.508911
test-63647.out,SpMV_OneWarpPerRow,mawi_201512012345.mtx,256,80.400284,0.946273,7.480832
test-63648.out,SpMV_OneWarpPerRow,sx-stackoverflow.mtx,256,3.785216,38.289436,164.15625
test-63619.out,SpMV_coalescedBins,crankseg_1.mtx,256,0.118682,179.758484,727.821777
test-63620.out,SpMV_coalescedBins,ecology1.mtx,256,0.483942,24.779808,132.574493
test-63621.out,SpMV_coalescedBins,F1.mtx,256,0.412979,131.63327,542.424377
test-63622.out,SpMV_coalescedBins,inline_1.mtx,256,0.565658,131.952789,544.658875
test-63623.out,SpMV_coalescedBins,mawi_201512012345.mtx,256,693.111694,0.109767,0.868745
test-63624.out,SpMV_coalescedBins,sx-stackoverflow.mtx,256,3.176243,45.630569,196.052383
test-63625.out,cuSPARSE SpMV,crankseg_1.mtx,256,0.117862,181.007919,731.19989
test-63626.out,cuSPARSE SpMV,ecology1.mtx,256,0.122368,97.999474,522.751038
test-63627.out,cuSPARSE SpMV,F1.mtx,256,0.27689,196.330246,805.18689
test-63628.out,cuSPARSE SpMV,inline_1.mtx,256,0.371302,201.022415,825.795471
test-63629.out,cuSPARSE SpMV,mawi_201512012345.mtx,256,25.348198,3.001422,23.727959
test-63630.out,cuSPARSE SpMV,sx-stackoverflow.mtx,256,1.631232,88.849274,380.918701
test-63631.out,SpMV_Hybrid,crankseg_1.mtx,256,0.103424,206.277344,833.27832
